"Categorie";"Onderdeel";"Nr";"Paragraaf";"Vraag"
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"11";"2.2";"De combinatie van onderaannemersregistratie, schriftelijke samenwerkingsovereenkomsten, dubbele dossiervoering, AO/IC, audits en declaratiecontrole kan voor instellingen behoorlijk zwaar worden. Vooral omdat mondzorg vaak relatief kleinschalig is binnen de totale zorgverlening. Welke stappen onderneemt u in dit kader om de administratieve uitvoeringslasten te beperken?"
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"12";"2.2";"De combinatie van onderaannemersregistratie, schriftelijke samenwerkingsovereenkomsten, dubbele dossiervoering, AO/IC, audits en declaratiecontrole kan voor instellingen behoorlijk zwaar worden. Vooral omdat mondzorg vaak relatief kleinschalig is binnen de totale zorgverlening. Wordt in dat kader overwogen om landelijke standaardformats of modeldocumenten beschikbaar te stellen teneinde administratieve lasten te beperken?"
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"13";"2.2";"Kunt u verduidelijken hoe de verantwoordelijkheid van de Wlz-zorgaanbieder voor toezicht op mondzorgdeclaraties en “passende zorg” zich verhoudt tot de professionele autonomie van de mondzorgprofessional, diens zelfstandige behandelverantwoordelijkheid en de verantwoordelijkheidsverdeling vanuit de Wet BIG en WGBO?"
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"14";"2.2";"Kunt u nader verduidelijken hoe de afbakening tussen “dagelijkse mondverzorging” en “professionele mondzorg” in de praktijk moet worden toegepast, met name bij preventieve handelingen die worden uitgevoerd door preventie-assistenten binnen intramurale settingen?"
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"15";"2.2";"U schrijft op blz. 7 dat de zorgaanbieder “controleert dat de mondzorgprofessional niet meer tijd of andere of meer prestaties declareert bij het zorgkantoor dan daadwerkelijk geleverd. De zorgaanbieder heeft zijn AO/IC hierop aangepast.” Hoe verwacht u dat een zorgaanbieder deze controle effectief en zinnig uitvoert als de mondzorgprofessional direct bij het zorgkantoor declareert? Zorgaanbieders beschikken immers niet over de brongegevens om dit te doen."
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"16";"2.3";"Het beleid en de aanvullende voorwaarden met betrekking tot hulpmiddelen en roerende voorzieningen, zoals opgenomen in paragraaf 2.3 van het Landelijk beleidskader Wlz 2027, is identiek aan het beleid en de voorwaarden zoals opgenomen in de Aanvullende inkoopvoorwaarden Wlz 2026. Klopt dat? Zo nee, welke wijzigingen zijn er dan in 2027 ten opzichte van 2026?"
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"17";"2.4";"Het beleid met betrekking tot chronische ademhalingsondersteuning, zoals opgenomen in paragraaf 2.4 is toegevoegd ten opzichte van 2026. De aanvullende voorwaarden, die zijn opgenomen zijn identiek aan de voorwaarden zoals opgenomen in de Aanvullende inkoopvoorwaarden Wlz 2026. Klopt het dat alleen het beleid met betrekking tot chronische ademhalingsondersteuning is gewijzigd? Zo nee, welke wijzigingen zijn er dan in 2027 ten opzichte van 2026?"
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"18";"2.5";"Het beleid met betrekking tot infectiepreventie, zoals opgenomen in paragraaf 2.5 van het Landelijk beleidskader Wlz 2027 is identiek aan het beleid zoals opgenomen in de Aanvullende inkoopvoorwaarden Wlz 2026. Klopt dat? Zo nee, welke wijzigingen zijn er dan in 2027 ten opzichte van 2026?"
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"19";"2.6";"Op blz. 10 somt u de LVHC doelgroepen op. Wij constateren dat deze opsomming niet compleet is. Wij missen de doelgroep Syndroom van Korsakov en de doelgroep Kind & NAH. Uit de overige tekst maken wij op dat deze doelgroepen wel onderdeel maken van het beleid in deze paragraaf. Zij behoren immers tot het doelgroepennetwerk binnen de lvhc-structuur zoals commissie CElz die beschrijft. Wij verzoeken het zorgkantoor deze doelgroepen toe te voegen. Bent u hiertoe bereid? Zo nee, waarom niet?"
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"20";"2.7";"U schrijft dat u verwacht dat zorgaanbieders per 1 januari 2028 is gecertificeerd voor minimaal niveau brons en per 1 januari 2030 is gecertificeerd voor minimaal niveau zilver. Certificering van de Milieuthermometer Zorg vindt echter niet op organisatieniveau plaats, maar per locatie. Is het voor zorgaanbieders met meerdere locaties voldoende dat per 1 januari 2028 minimaal één locatie is gecertificeerd voor minimaal niveau brons en per 1 januari 2030 minimaal één locatie is gecertificeerd voor minimaal niveau zilver? Zo nee, waarom niet?"
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"21";"2.7";"U schrijft dat er ook alternatieve manieren zijn om duurzaamheid aantoonbaar te maken. Deze staan in de “Handleiding aantoonbare duurzaamheid en duurzaamheidscertificering in de Zorginkoop”. Eén daarvan is het invullen van een checklist. Hoe toetst u in dat geval de voortgang tussen 1-1-2028 en 1-1-2030? Worden er in toekomstige checklists andere vragen gesteld en indirect een hogere norm gesteld?"
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"22";"2.7";"“En in het bijzonder … 2030 t.o.v. 2018.” Middels deze passage stellen zorgkantoren één doel uit de Green Deal centraal, terwijl het onzes inziens van belang is om de doelstellingen in zijn volledigheid te belichten. Waarom kiest het zorgkantoor ervoor deze doelstelling centraal te stellen? In de praktijk zien we dat de doelstelling rondom het verminderen van het gebruik van incontinentiemateriaal zeer lastig te bereiken is. De zorgvraag en daarmee ook de incontinentie van de cliënt neemt immers steeds verder toe. Bovendien zijn de opties op het gebied van duurzame incontinentiezorg (recycling, wasbaar, etc.) op dit moment nog zeer beperkt. Heeft u hier rekening mee gehouden? Kunt u ermee instemmen dat een inspanningsverplichting op deze doelstelling voldoende is? Zo nee, waarom niet?"
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"23";"2.7";"“We gaan zorgaanbieders …doelen van de GDDZ.” Zorgkantoren spreken een duidelijke voorkeur uit voor het gebruik van de Milieu Thermometer Zorg ten opzichte van andere manieren om duurzaamheidsinspanningen inzichtelijk te maken. Aanbieders ontvangen ook alleen een vergoeding bij het gebruik van de Milieu Thermometer Zorg. Wij zijn van mening dat zorgkantoren hiermee een middel centraal stellen, in plaats van het doel om te verduurzamen. Wij verzoeken zorgkantoren daarom om ook aanbieders die hun duurzaamheidsinspanning op andere manieren inzichtelijk maken een vergoeding te bieden? Bent u hiertoe bereid? Zo nee, waarom niet?"
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"24";"2.8";"U eist dat zorgaanbieders hun zorg- en vastgoedexploitatie separaat inzichtelijk maken. Met welk oogmerk wordt deze eis gesteld en hoe is de noodzaak en de proportionaliteit ervan beoordeeld?"
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"25";"2.8";"U eist dat zorgaanbieders hun zorg- en vastgoedexploitatie separaat inzichtelijk maken. Is de zorgorganisatie vrij in het kiezen van een methode om kosten toe te rekenen?"
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"26";"2.8";"Hoe verhouden de geformuleerde inkoopvoorwaarden zich tot de eigen integrale verantwoordelijkheid van zorgaanbieders?"
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"27";"2.8";"U stelt: “Zorgaanbieders informeren en, waar nodig, betrekken zorgkantoren bij keuzes over vastgoed, gezien de impact hiervan op de beschikbaarheid van passend vastgoed in de regio.” Kunt u nader omschrijven wie bepaalt waar dit nodig is, hoe dit besproken wordt in de regio en welke rol het zorgkantoor heeft bij het betrekken van deze keuzes? Vanuit de eigen verantwoordelijkheid die een zorgaanbieder heeft over zijn zorgvastgoed en beleid en keuzes daar omtrent, kan het zorgkantoor slechts adviserend zijn."
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"28";"2.8";"Wat doet het zorgkantoor met het opgevraagde en verstrekte plan op het gebied van zorgvastgoed en op welke wijze wordt dit plan gebruikt in het verdere inkoop- en toezicht proces?"
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"29";"2.8";"U stelt: “we gaan op brancheniveau in gesprek over de manier waarop dit kan worden vormgegeven” Kunt u nader toelichten welke verwachtingen het zorgkantoor heeft bij deze gesprekken op brancheniveau?"
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"30";"3.1";"Zorgkantoren hanteren verschillende verwachtingen richting Wlz-aanbieders met betrekking tot MGZ. Deze afspraken zijn echter noodzakelijkerwijs ook afhankelijk van de samenwerkingspartners (huisartsen en inkopende partijen). Wij verzoeken het zorgkantoor deze randvoorwaarde mee te nemen in haar verwachtingen richting zorgaanbieders. Bent u daartoe bereid? Zo nee, waarom niet?"
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"31";"3.2";"In paragraaf 3.2 van het Landelijk beleidskader Wlz 2027 staat dat het toetsingskader geldt als een eerste uitwerking en op basis van de toepassing in de praktijk kan worden bijgesteld. In voetnoot 5 staat: “Eventuele aanpassingen worden jaarlijks op 1 juni tegelijktijdig met ander aanvullend beleid gepubliceerd.” De vraag is of eventuele aanpassingen dan ook pas op 1 januari van het jaar volgend op publicatie worden toegepast of dat de aanpassingen dan al op 1 juli volgend op de datum van publicatie kunnen worden toegepast. Het lijkt ons niet wenselijk als wordt geconcludeerd dat aanpassingen gewenst zijn, dat het dan nog 7 maanden duurt voor ze van toepassing zijn. Wij gaan ervanuit dat aanpassingen die worden gepubliceerd op 1 juni van enig jaar op 1 juli van datzelfde jaar ingaan. Klopt dat? Zo nee, graag een toelichting."
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"32";"3.2";"In de voetnoot op blz. 20 definieert u geclusterde zorg als volgt “Wij spreken van geclusterde zorg als drie of meer mensen met dezelfde postcode (PC6 niveau) zorg ontvangen.” Past u deze definitie één op één en in alle gevallen toe? Zo nee, waarom niet? Wij stellen deze vraag, omdat u in de landelijke Regiomonitor 2026 verpleegzorg dezelfde definitie gebruikt, maar vervolgens stelt “Indien drie of meer klanten op een PC6 wonen, maar door controle is bepaald dat dit geen geclusterde woonvorm betreft, zijn klanten geteld als ongeclusterd VPT.” Die tekst impliceert dat u nog een andere definitie hanteert. Indien dat zo is, welke is dat dan?"
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"33";"3.2";"Op blz. 21 bovenaan schrijft u: “Als de structurele inzet van de bovenstaande aspecten niet rendabel te organiseren zijn vanuit een mpt, terwijl deze wél leiden tot een aantoonbaar lagere personele inzet of tot betere ondersteuning kan een vpt passend zijn.” Wat bedoelt u met “niet rendabel”? Dat het niet past binnen de MPT-tarieven of binnen het MPT-budget, of iets anders?"
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"34";"3.2";"Op blz. 21 schrijft u: “Het basisuitgangspunt is te allen tijde: De kosten op cliëntniveau moeten te allen tijde in redelijke verhouding staan tot de inkomsten. Het uitgangspunt hierbij is dat wanneer de kosten minder dan 80% van de inkomsten bij inzet vpt bedragen, het mpt altijd de best passende leveringsvorm is.” Hoe verhoudt dit uitgangspunt zich met de inhoudelijke criteria in dit toetsingskader? Vindt u een financiële afweging belangrijker dan een inhoudelijke afweging? Zo ja, kunt u dit onderbouwen?"
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"35";"3.2";"Op blz. 21 schrijft u: “Het basisuitgangspunt is te allen tijde: De kosten op cliëntniveau moeten te allen tijde in redelijke verhouding staan tot de inkomsten. Het uitgangspunt hierbij is dat wanneer de kosten minder dan 80% van de inkomsten bij inzet VPT bedragen, het MPT altijd de best passende leveringsvorm is.” Hoe moeten we het begrip ‘kosten’ in deze passage interpreteren en stelt het zorgkantoor een hulpmiddel beschikbaar om deze kosten te berekenen?"
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"36";"3.2";"Kan het zorgkantoor precies beschrijven wat bedoeld wordt met ‘inkomsten inzet VPT’?"
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"37";"3.2";"Kunt u toelichten waarom u nieuw beleid ontwikkelt voor ongeclusterde VPT, maar niet voor geclusterde VPT? Welke overwegingen liggen ten grondslag aan dit onderscheid? En waarom acht u het gerechtvaardigd om deze twee vormen van VPT beleidsmatig verschillend te behandelen?"
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"38";"3.2";"Op blz. 21 schrijft u: “Het basisuitgangspunt is te allen tijde: De kosten op cliëntniveau moeten te allen tijde in redelijke verhouding staan tot de inkomsten. Het uitgangspunt hierbij is dat wanneer de kosten minder dan 80% van de inkomsten bij inzet vpt bedragen, het mpt altijd de best passende leveringsvorm is.” Kunt u het onderzoek delen dat aan deze 80%-norm ten grondslag ligt?"
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"39";"3.2";"Wij ervaren de regelgeving en administratieve vereisten rondom MPT als aanzienlijk complexer en belastender dan die voor VPT. Welke maatregelen bent u voornemens te nemen om de administratieve belasting binnen het MPT te verminderen en de uitvoering hiervan te vereenvoudigen?"
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"40";"3.2";"Bent u het ermee eens dat zorgaanbieders vanaf 2027 voor cliënten met een MPT de uitgangspunten kunnen hanteren die door Zorgkantoor DSW worden toegepast binnen de “Pilot vermindering gebruik AAT en rekenmodule”? Dit zou betekenen dat uitsluitend een AAT wordt ingediend wanneer een nieuwe zorgaanbieder bij de zorgverlening wordt betrokken, wanneer de leveringsvorm wijzigt of wanneer de zorg niet langer verantwoord kan worden geleverd. Indien u hiermee niet instemt, kunt u dan toelichten op welke gronden en welke bezwaren daaraan ten grondslag liggen?"
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"41";"3.2";"Binnen het VPT hebben wij de mogelijkheid om medewerkers in te zetten voor activiteiten die bijdragen aan het langer zelfstandig thuis wonen van cliënten, waaronder: het ondersteunen van het netwerk van de cliënt, zoals mantelzorgers en andere vormen van informele zorg; het ondersteunen van de cliënt bij het onderhouden en versterken van dit netwerk; zorgcoördinatie en zorgregie; activiteiten gericht op welzijn en welbevinden. Deze werkzaamheden zijn naar onze ervaring essentieel om cliënten op verantwoorde wijze langer thuis te laten wonen en om zwaardere zorgvragen of opname uit te stellen. Kunt u aangeven op welke wijze deze en vergelijkbare activiteiten binnen het MPT kunnen worden aangeboden, geregistreerd en gedeclareerd? Bent u van mening dat hiervoor de prestatie Begeleiding (NZa-prestatiecode H300) kan worden gebruikt? Indien dit niet mogelijk is, kunt u toelichten waarom niet en aangeven welke prestatie(s) dan wel geschikt zijn voor de registratie en declaratie van deze activiteiten?"
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"42";"3.2";"“Het basisuitgangspunt is … passende leveringsvorm is.” Naar onze mening doet deze algemene voorwaarden de eerdergenoemde criteria teniet. Dit criterium zou nevengeschikt moeten zijn en niet bovengeschikt aan de overige criteria. Het moet een aanvulling zijn op het vierde criterium. Er kan sprake zijn van cliënten die tegen de 80% grens aanzitten, maar ook een complexe instabiele zorgvraag hebben met hoge administratieve lasten. Dit kan ongewenste grensgevallen opleveren waarin doelmatigheid boven zorginhoudelijke argumenten gaat. Wij verzoeken om het 80% criterium niet bovengeschikt te maken, maar toe te voegen aan criterium vier. Bent u hiertoe bereid? Zo nee, waarom niet?"
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"43";"3.2";"“Zorgkantoren gaan ervan …verzilveren via een mpt.” Hoewel wij begrijpen dat zorgkantoren een streefnorm willen hanteren, willen wij erop wijzen dat het toetsingskader primair bedoeld is om aanbieders de ruimte te bieden een VPT in te zetten wanneer dit, onder de gestelde voorwaarden, beter aansluit bij de situatie en behoeften van de cliënt dan een MPT. Wij zien het risico dat een streefnorm van 90% deze beoogde ruimte in de praktijk beperkt. Kunt u toelichten hoe wordt geborgd dat de individuele situatie en ondersteuningsbehoefte van de cliënt leidend blijven bij de keuze tussen VPT en MPT, en niet de streefnorm zelf?"
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"44";"3.2";"“In het Hoofdlijnen … criteria passender is.” Een van de voorwaarden die in het Hoofdlijnenakkoord Ouderenzorg is overeengekomen, betreft het beperken van de administratieve lasten die samenhangen met het modulair pakket thuis. Kunt u toelichten op welke wijze en wanneer u helderheid gaat verschaffen over hoe u deze administratieve lasten beperkt?"
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"45";"3.3";"“Het vergroten van …en zij instroom).” Bent u van mening dat onder het vergroten van de instroom van nieuwe medewerkers ook inspanningen met betrekking tot het begeleiden van BOL- en BBL-leerlingen kunnen vallen? Zo nee, waarom niet?"
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"46";"3.3";"“Het vergroten van …en zij instroom)” Kunt u verduidelijken of de regeling voor BOL- en BBL-leerlingen ook van toepassing is op hbo- en hbo-duaal studenten? Zo nee, kunt u toelichten waarom hiervoor is gekozen, gelet op het belang van een juiste deskundigheidsmix met verschillende deskundigheidsniveaus? Deze leerlingen of stagiairs vragen ook begeleidingstijd van een organisatie."
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"47";"3.3";"Op welke wijze proberen zorgkantoren de administratieve lasten rondom het aanvragen van het regiobudget HLO te beperken?"
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"48";"3.3";"In de aanvullende inkoopvoorwaarden voor het Regiobudget HLO lezen wij dat de uiterste datum voor het indienen van een aanvraag voor het regiobudget is vastgesteld op 1 juli. Kunt u bevestigen of hiermee wordt gedoeld op 1 juli 2026 of 1 juli 2027? Indien sprake is van 1 juli 2026, merken wij op dat deze termijn naar onze mening zeer kort is. Het lijkt onrealistisch om van aanbieders te verwachten dat zij binnen vier weken na publicatie van het inkoopbeleid een volledig afgestemde aanvraag kunnen voorbereiden en indienen. Wij verzoeken u daarom te bevestigen welke datum van toepassing is. Mocht 1 juli 2026 inderdaad de beoogde deadline zijn, dan verzoeken wij u de indieningstermijn met ten minste vier weken te verlengen. Stemt het zorgkantoor hiermee in? Zo nee, waarom niet?"
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"49";"3.4";"Het beleid met betrekking tot herstelgerichte behandeling, zoals opgenomen in paragraaf 3.4 van het Landelijk beleidskader Wlz 2027 is identiek aan het beleid zoals opgenomen in de Aanvullende inkoopvoorwaarden Wlz 2026. Klopt dat? Zo nee, welke wijzigingen zijn er dan in 2027 ten opzichte van 2026?"
"Landelijk beleid";"II. Overeenkomst Wlz 2027-2029";"1";"Hfst. 1, art. 2, lid 1";"Kan worden toegelicht op welke wijze bij de totstandkoming van dit beleidskader is beoordeeld of de aanvullende administratieve verplichtingen proportioneel en uitvoerbaar zijn voor zorgaanbieders en mondzorgprofessionals?"
"Landelijk beleid";"II. Overeenkomst Wlz 2027-2029";"2";"Hfst. 1, art. 2, lid 9";"Het beleidskader vereist dat de door de mondzorgprofessional geleverde zorg wordt vastgelegd in zowel het cliëntdossier van de Wlz-zorgaanbieder als dat van de mondzorgprofessional. Er is zogezegd sprake van dubbele dossiervoering. Kan het zorgkantoor verduidelijken welke minimale gegevens in beide dossiers aanwezig moeten zijn?"
"Landelijk beleid";"II. Overeenkomst Wlz 2027-2029";"3";"Hfst. 1, art. 2, lid 9";"Het beleidskader vereist dat de door de mondzorgprofessional geleverde zorg wordt vastgelegd in zowel het cliëntdossier van de Wlz-zorgaanbieder als dat van de mondzorgprofessional. Er is zogezegd sprake van dubbele dossiervoering. Kan het zorgkantoor verduidelijken of koppelingen of samenvattingen hierin volstaan?"
"Landelijk beleid";"II. Overeenkomst Wlz 2027-2029";"4";"Hfst. 1, art. 2, lid 9";"Het beleidskader vereist dat de door de mondzorgprofessional geleverde zorg wordt vastgelegd in zowel het cliëntdossier van de Wlz-zorgaanbieder als dat van de mondzorgprofessional. Er is zogezegd sprake van dubbele dossiervoering. Kan worden verduidelijkt hoe het zorgkantoor poogt onnodige dubbele administratieve lasten te voorkomen?"
"Landelijk beleid";"II. Overeenkomst Wlz 2027-2029";"5";"Hfst. 1, art. 2, lid 10";"Met betrekking tot de controleplicht die bij zorgaanbieders wordt neergelegd op het gebied van tijdsbesteding, prestaties en rechtmatigheid van declaraties van mondzorgprofessionals signaleren wij dat veel instellingen geen tandheelkundige expertise hebben, evenals meestal geen inzage in de behandelinhoud en geen capaciteit voor detailcontrole. Kan het zorgkantoor verduidelijken welke concrete controlewerkzaamheden van zorgaanbieders worden verwacht ten aanzien van door mondzorgprofessionals gedeclareerde prestaties en tijdsbesteding?"
"Landelijk beleid";"II. Overeenkomst Wlz 2027-2029";"6";"Hfst. 1, art. 2, lid 10";"Met betrekking tot de controleplicht die bij zorgaanbieders wordt neergelegd op het gebied van tijdsbesteding, prestaties en rechtmatigheid van declaraties van mondzorgprofessionals signaleren wij dat veel instellingen geen tandheelkundige expertise hebben, evenals meestal geen inzage in de behandelinhoud en geen capaciteit voor detailcontrole. Kan het zorgkantoor verduidelijken welke mate van inhoudelijke toetsing redelijkerwijs van zorgaanbieders verwacht wordt?"
"Landelijk beleid";"II. Overeenkomst Wlz 2027-2029";"7";"Hfst. 1, art. 2, lid 10";"Met betrekking tot de controleplicht die bij zorgaanbieders wordt neergelegd op het gebied van tijdsbesteding, prestaties en rechtmatigheid van declaraties van mondzorgprofessionals signaleren wij dat veel instellingen geen tandheelkundige expertise hebben, evenals meestal geen inzage in de behandelinhoud en geen capaciteit voor detailcontrole. Kan het zorgkantoor verduidelijken hoe dit zich verhoudt tot de eigen verantwoordelijkheid van de mondzorgprofessional?"
"Landelijk beleid";"II. Overeenkomst Wlz 2027-2029";"8";"Hfst. 1, art. 2, lid 10";"Met betrekking tot de controleplicht die bij zorgaanbieders wordt neergelegd op het gebied van tijdsbesteding, prestaties en rechtmatigheid van declaraties van mondzorgprofessionals signaleren wij dat veel instellingen geen tandheelkundige expertise hebben, evenals meestal geen inzage in de behandelinhoud en geen capaciteit voor detailcontrole. Kan worden verduidelijkt op basis van welke norm het zorgkantoor beoordeelt of de zorgaanbieder “voldoende toezicht” heeft gehouden? Welke mate van detailcontrole is volgens het zorgkantoor proportioneel?"
"Landelijk beleid";"II. Overeenkomst Wlz 2027-2029";"9";"Hfst. 1, art. 2, lid 10";"Het beleidskader stelt dat de zorgaanbieder de AO/IC moet aanpassen ten aanzien van mondzorgdeclaraties. Kan het zorgkantoor verduidelijken welke minimale eisen aan de AO/IC worden gesteld?"
